,originalLocation,x,y,z
431,K-19-13,18.6,81.0,1
432,K-20-11,21.8,86.8,1
433,K-20-12,20.2,86.8,1
434,K-20-13,18.6,86.8,1
435,K-21-11,16.8,81.0,1
436,K-21-12,15.2,81.0,1
437,K-21-13,13.6,81.0,1
438,K-22-11,16.8,86.8,1
439,K-22-12,15.2,86.8,1
440,K-22-13,13.6,86.8,1
441,K-23-11,11.8,81.0,1
442,K-23-12,10.2,81.0,1
443,K-23-13,8.6,81.0,1
444,K-24-11,11.8,86.8,1
445,K-24-12,10.2,86.8,1
446,K-24-13,8.6,86.8,1
447,L-01-11,66.6,99.0,1
448,L-01-12,65.0,99.0,1
449,L-01-13,63.4,99.0,1
450,L-02-11,66.6,104.8,1
451,L-02-12,65.0,104.8,1
452,L-02-13,63.4,104.8,1
453,L-03-11,61.6,99.0,1
454,L-03-12,60.0,99.0,1
455,L-03-13,58.4,99.0,1
456,L-04-11,61.6,104.8,1
457,L-04-12,60.0,104.8,1
458,L-04-13,58.4,104.8,1
459,L-05-11,56.6,99.0,1
460,L-05-12,55.0,99.0,1
461,L-05-13,53.4,99.0,1
462,L-06-11,56.6,104.8,1
463,L-06-12,55.0,104.8,1
464,L-06-13,53.4,104.8,1
465,L-07-11,51.6,99.0,1
466,L-07-12,50.0,99.0,1
467,L-07-13,48.4,99.0,1
468,L-08-11,51.6,104.8,1
469,L-08-12,50.0,104.8,1
470,L-08-13,48.4,104.8,1
471,L-09-11,46.6,99.0,1
472,L-09-12,45.0,99.0,1
473,L-09-13,43.4,99.0,1
474,L-10-11,46.6,104.8,1
475,L-10-12,45.0,104.8,1
476,L-10-13,43.4,104.8,1
477,L-13-11,36.8,90.0,1
478,L-13-12,35.2,90.0,1
479,L-13-13,33.6,90.0,1
480,L-14-11,36.8,95.8,1
481,L-14-12,35.2,95.8,1
482,L-14-13,33.6,95.8,1
483,L-15-11,31.8,90.0,1
484,L-15-12,30.2,90.0,1
485,L-15-13,28.6,90.0,1
486,L-16-11,31.8,95.8,1
487,L-16-12,30.2,95.8,1
488,L-16-13,28.6,95.8,1
489,L-17-11,26.8,90.0,1
490,L-17-12,25.2,90.0,1
491,L-17-13,23.6,90.0,1
492,L-18-11,26.8,95.8,1
493,L-18-12,25.2,95.8,1
494,L-18-13,23.6,95.8,1
495,L-19-11,21.8,90.0,1
496,L-19-12,20.2,90.0,1
497,L-19-13,18.6,90.0,1
498,L-20-11,21.8,95.8,1
499,L-20-12,20.2,95.8,1
500,L-20-13,18.6,95.8,1
501,L-21-11,16.8,90.0,1
502,L-21-12,15.2,90.0,1
503,L-21-13,13.6,90.0,1
504,L-22-11,16.8,95.8,1
505,L-22-12,15.2,95.8,1
506,L-22-13,13.6,95.8,1
507,L-23-11,11.8,90.0,1
508,L-23-12,10.2,90.0,1
509,L-23-13,8.6,90.0,1
510,L-24-11,11.8,95.8,1
511,L-24-12,10.2,95.8,1
512,L-24-13,8.6,95.8,1
513,M-01-11,66.6,108.0,1
514,M-01-12,65.0,108.0,1
515,M-01-13,63.4,108.0,1
516,M-02-11,66.6,113.8,1
517,M-02-12,65.0,113.8,1
518,M-02-13,63.4,113.8,1
519,M-03-11,61.6,108.0,1
520,M-03-12,60.0,108.0,1
521,M-03-13,58.4,108.0,1
522,M-04-11,61.6,113.8,1
523,M-04-12,60.0,113.8,1
524,M-04-13,58.4,113.8,1
525,M-05-11,56.6,108.0,1
526,M-05-12,55.0,108.0,1
527,M-05-13,53.4,108.0,1
528,M-06-11,56.6,113.8,1
529,M-06-12,55.0,113.8,1
530,M-06-13,53.4,113.8,1
531,M-07-11,51.6,108.0,1
532,M-07-12,50.0,108.0,1
533,M-07-13,48.4,108.0,1
534,M-08-11,51.6,113.8,1
535,M-08-12,50.0,113.8,1
536,M-08-13,48.4,113.8,1
537,M-09-11,46.6,108.0,1
538,M-09-12,45.0,108.0,1
539,M-09-13,43.4,108.0,1
540,M-10-11,46.6,113.8,1
541,M-10-12,45.0,113.8,1
542,M-10-13,43.4,113.8,1
543,M-13-11,36.8,99.0,1
544,M-13-12,35.2,99.0,1
545,M-13-13,33.6,99.0,1
546,M-14-11,36.8,104.8,1
547,M-14-12,35.2,104.8,1
548,M-14-13,33.6,104.8,1
549,M-15-11,31.8,99.0,1
550,M-15-12,30.2,99.0,1
551,M-15-13,28.6,99.0,1
552,M-16-11,31.8,104.8,1
553,M-16-12,30.2,104.8,1
554,M-16-13,28.6,104.8,1
555,M-17-11,26.8,99.0,1
556,M-17-12,25.2,99.0,1
557,M-17-13,23.6,99.0,1
558,M-18-11,26.8,104.8,1
559,M-18-12,25.2,104.8,1
560,M-18-13,23.6,104.8,1
561,M-19-11,21.8,99.0,1
562,M-19-12,20.2,99.0,1
563,M-19-13,18.6,99.0,1
564,M-20-11,21.8,104.8,1
565,M-20-12,20.2,104.8,1
566,M-20-13,18.6,104.8,1
567,M-21-11,16.8,99.0,1
568,M-21-12,15.2,99.0,1
569,M-21-13,13.6,99.0,1
570,M-22-11,16.8,104.8,1
571,M-22-12,15.2,104.8,1
572,M-22-13,13.6,104.8,1
573,M-23-11,11.8,99.0,1
574,M-23-12,10.2,99.0,1
575,M-23-13,8.6,99.0,1
576,M-24-11,11.8,104.8,1
577,M-24-12,10.2,104.8,1
578,M-24-13,8.6,104.8,1
579,N-01-11,66.6,117.0,1
580,N-01-12,65.0,117.0,1
581,N-01-13,63.4,117.0,1
582,N-02-11,66.6,122.8,1
583,N-02-12,65.0,122.8,1
584,N-02-13,63.4,122.8,1
585,N-03-11,61.6,117.0,1
586,N-03-12,60.0,117.0,1
587,N-03-13,58.4,117.0,1
588,N-04-11,61.6,122.8,1
589,N-04-12,60.0,122.8,1
590,N-04-13,58.4,122.8,1
591,N-05-11,56.6,117.0,1
592,N-05-12,55.0,117.0,1
593,N-05-13,53.4,117.0,1
594,N-06-11,56.6,122.8,1
595,N-06-12,55.0,122.8,1
596,N-06-13,53.4,122.8,1
597,N-07-11,51.6,117.0,1
598,N-07-12,50.0,117.0,1
599,N-07-13,48.4,117.0,1
600,N-08-11,51.6,122.8,1
601,N-08-12,50.0,122.8,1
602,N-08-13,48.4,122.8,1
603,N-09-11,46.6,117.0,1
604,N-09-12,45.0,117.0,1
605,N-09-13,43.4,117.0,1
606,N-10-11,46.6,122.8,1
607,N-10-12,45.0,122.8,1
608,N-10-13,43.4,122.8,1
609,N-13-11,36.8,108.0,1
610,N-13-12,35.2,108.0,1
611,N-13-13,33.6,108.0,1
612,N-14-11,36.8,113.8,1
613,N-14-12,35.2,113.8,1
614,N-14-13,33.6,113.8,1
615,N-15-11,31.8,108.0,1
616,N-15-12,30.2,108.0,1
617,N-15-13,28.6,108.0,1
618,N-16-11,31.8,113.8,1
619,N-16-12,30.2,113.8,1
620,N-16-13,28.6,113.8,1
621,N-17-11,26.8,108.0,1
622,N-17-12,25.2,108.0,1
623,N-17-13,23.6,108.0,1
624,N-18-11,26.8,113.8,1
625,N-18-12,25.2,113.8,1
626,N-18-13,23.6,113.8,1
627,N-19-11,21.8,108.0,1
628,N-19-12,20.2,108.0,1
629,N-19-13,18.6,108.0,1
630,N-20-11,21.8,113.8,1
631,N-20-12,20.2,113.8,1
632,N-20-13,18.6,113.8,1
633,N-21-11,16.8,108.0,1
634,N-21-12,15.2,108.0,1
635,N-21-13,13.6,108.0,1
636,N-22-11,16.8,113.8,1
637,N-22-12,15.2,113.8,1
638,N-22-13,13.6,113.8,1
639,N-23-11,11.8,108.0,1
640,N-23-12,10.2,108.0,1
641,N-23-13,8.6,108.0,1
642,N-24-11,11.8,113.8,1
643,N-24-12,10.2,113.8,1
644,N-24-13,8.6,113.8,1
645,O-01-11,66.6,126.0,1
646,O-01-12,65.0,126.0,1
647,O-01-13,63.4,126.0,1
648,O-02-11,66.6,131.8,1
649,O-02-12,65.0,131.8,1
650,O-02-13,63.4,131.8,1
651,O-03-11,61.6,126.0,1
652,O-03-12,60.0,126.0,1
653,O-03-13,58.4,126.0,1
654,O-04-11,61.6,131.8,1
655,O-04-12,60.0,131.8,1
656,O-04-13,58.4,131.8,1
657,O-05-11,56.6,126.0,1
658,O-05-12,55.0,126.0,1
659,O-05-13,53.4,126.0,1
660,O-06-11,56.6,131.8,1
661,O-06-12,55.0,131.8,1
662,O-06-13,53.4,131.8,1
663,O-07-11,51.6,126.0,1
664,O-07-12,50.0,126.0,1
665,O-07-13,48.4,126.0,1
666,O-08-11,51.6,131.8,1
667,O-08-12,50.0,131.8,1
668,O-08-13,48.4,131.8,1
669,O-09-11,46.6,126.0,1
670,O-09-12,45.0,126.0,1
671,O-09-13,43.4,126.0,1
672,O-10-11,46.6,131.8,1
673,O-10-12,45.0,131.8,1
674,O-10-13,43.4,131.8,1
675,O-13-11,36.8,117.0,1
676,O-13-12,35.2,117.0,1
677,O-13-13,33.6,117.0,1
678,O-14-11,36.8,122.8,1
679,O-14-12,35.2,122.8,1
680,O-14-13,33.6,122.8,1
681,O-15-11,31.8,117.0,1
682,O-15-12,30.2,117.0,1
683,O-15-13,28.6,117.0,1
684,O-16-11,31.8,122.8,1
685,O-16-12,30.2,122.8,1
686,O-16-13,28.6,122.8,1
687,O-17-11,26.8,117.0,1
688,O-17-12,25.2,117.0,1
689,O-17-13,23.6,117.0,1
690,O-18-11,26.8,122.8,1
691,O-18-12,25.2,122.8,1
692,O-18-13,23.6,122.8,1
693,O-19-11,21.8,117.0,1
694,O-19-12,20.2,117.0,1
695,O-19-13,18.6,117.0,1
696,O-20-11,21.8,122.8,1
697,O-20-12,20.2,122.8,1
698,O-20-13,18.6,122.8,1
699,O-21-11,16.8,117.0,1
700,O-21-12,15.2,117.0,1
701,O-21-13,13.6,117.0,1
702,O-22-11,16.8,122.8,1
703,O-22-12,15.2,122.8,1
704,O-22-13,13.6,122.8,1
705,O-23-11,11.8,117.0,1
706,O-23-12,10.2,117.0,1
707,O-23-13,8.6,117.0,1
708,O-24-11,11.8,122.8,1
709,O-24-12,10.2,122.8,1
710,O-24-13,8.6,122.8,1
711,P-01-11,66.6,135.0,1
712,P-01-12,65.0,135.0,1
713,P-01-13,63.4,135.0,1
714,P-02-11,66.6,140.8,1
715,P-02-12,65.0,140.8,1
716,P-02-13,63.4,140.8,1
717,P-03-11,61.6,135.0,1
718,P-03-12,60.0,135.0,1
719,P-03-13,58.4,135.0,1
720,P-04-11,61.6,140.8,1
721,P-04-12,60.0,140.8,1
722,P-04-13,58.4,140.8,1
723,P-05-11,56.6,135.0,1
724,P-05-12,55.0,135.0,1
725,P-05-13,53.4,135.0,1
726,P-06-11,56.6,140.8,1
727,P-06-12,55.0,140.8,1
728,P-06-13,53.4,140.8,1
729,P-07-11,51.6,135.0,1
730,P-07-12,50.0,135.0,1
731,P-07-13,48.4,135.0,1
732,P-08-11,51.6,140.8,1
733,P-08-12,50.0,140.8,1
734,P-08-13,48.4,140.8,1
735,P-09-11,46.6,135.0,1
736,P-09-12,45.0,135.0,1
737,P-09-13,43.4,135.0,1
738,P-10-11,46.6,140.8,1
739,P-10-12,45.0,140.8,1
740,P-10-13,43.4,140.8,1
741,P-13-11,36.8,126.0,1
742,P-13-12,35.2,126.0,1
743,P-13-13,33.6,126.0,1
744,P-14-11,36.8,131.8,1
745,P-14-12,35.2,131.8,1
746,P-14-13,33.6,131.8,1
747,P-15-11,31.8,126.0,1
748,P-15-12,30.2,126.0,1
749,P-15-13,28.6,126.0,1
750,P-16-11,31.8,131.8,1
751,P-16-12,30.2,131.8,1
752,P-16-13,28.6,131.8,1
753,P-17-11,26.8,126.0,1
754,P-17-12,25.2,126.0,1
755,P-17-13,23.6,126.0,1
756,P-18-11,26.8,131.8,1
757,P-18-12,25.2,131.8,1
758,P-18-13,23.6,131.8,1
759,P-19-11,21.8,126.0,1
760,P-19-12,20.2,126.0,1
761,P-19-13,18.6,126.0,1
762,P-20-11,21.8,131.8,1
763,P-20-12,20.2,131.8,1
764,P-20-13,18.6,131.8,1
765,P-21-11,16.8,126.0,1
766,P-21-12,15.2,126.0,1
767,P-21-13,13.6,126.0,1
768,P-22-11,16.8,131.8,1
769,P-22-12,15.2,131.8,1
770,P-22-13,13.6,131.8,1
771,P-23-11,11.8,126.0,1
772,P-23-12,10.2,126.0,1
773,P-23-13,8.6,126.0,1
774,P-24-11,11.8,131.8,1
775,P-24-12,10.2,131.8,1
776,P-24-13,8.6,131.8,1
777,Q-01-11,66.6,144.0,1
778,Q-01-12,65.0,144.0,1
779,Q-01-13,63.4,144.0,1
780,Q-03-11,61.6,144.0,1
781,Q-03-12,60.0,144.0,1
782,Q-03-13,58.4,144.0,1
783,Q-05-11,56.6,144.0,1
784,Q-05-12,55.0,144.0,1
785,Q-05-13,53.4,144.0,1
786,Q-07-11,51.6,144.0,1
787,Q-07-12,50.0,144.0,1
788,Q-07-13,48.4,144.0,1
789,Q-09-11,46.6,144.0,1
790,Q-09-12,45.0,144.0,1
791,Q-09-13,43.4,144.0,1
792,Q-13-11,36.8,135.0,1
793,Q-13-12,35.2,135.0,1
794,Q-13-13,33.6,135.0,1
795,Q-14-11,36.8,140.8,1
796,Q-14-12,35.2,140.8,1
797,Q-14-13,33.6,140.8,1
798,Q-15-11,31.8,135.0,1
799,Q-15-12,30.2,135.0,1
800,Q-15-13,28.6,135.0,1
801,Q-16-11,31.8,140.8,1
802,Q-16-12,30.2,140.8,1
803,Q-16-13,28.6,140.8,1
804,Q-17-11,26.8,135.0,1
805,Q-17-12,25.2,135.0,1
806,Q-17-13,23.6,135.0,1
807,Q-18-11,26.8,140.8,1
808,Q-18-12,25.2,140.8,1
809,Q-18-13,23.6,140.8,1
810,Q-19-11,21.8,135.0,1
811,Q-19-12,20.2,135.0,1
812,Q-19-13,18.6,135.0,1
813,Q-20-11,21.8,140.8,1
814,Q-20-12,20.2,140.8,1
815,Q-20-13,18.6,140.8,1
816,Q-21-11,16.8,135.0,1
817,Q-21-12,15.2,135.0,1
818,Q-21-13,13.6,135.0,1
819,Q-22-11,16.8,140.8,1
820,Q-22-12,15.2,140.8,1
821,Q-22-13,13.6,140.8,1
822,Q-23-11,11.8,135.0,1
823,Q-23-12,10.2,135.0,1
824,Q-23-13,8.6,135.0,1
825,Q-24-11,11.8,140.8,1
826,Q-24-12,10.2,140.8,1
827,Q-24-13,8.6,140.8,1
828,R-13-11,36.8,144.0,1
829,R-13-12,35.2,144.0,1
830,R-13-13,33.6,144.0,1
831,R-15-11,31.8,144.0,1
832,R-15-12,30.2,144.0,1
833,R-15-13,28.6,144.0,1
834,R-17-11,26.8,144.0,1
835,R-17-12,25.2,144.0,1
836,R-17-13,23.6,144.0,1
837,R-19-11,21.8,144.0,1
838,R-19-12,20.2,144.0,1
839,R-19-13,18.6,144.0,1
840,R-21-11,16.8,144.0,1
841,R-21-12,15.2,144.0,1
842,R-21-13,13.6,144.0,1
843,R-23-11,11.8,144.0,1
844,R-23-12,10.2,144.0,1
845,R-23-13,8.6,144.0,1
